full_name	name	state	country	latitude	longitude	timezone
Kyiv, Kyiv City, Ukraine	Kyiv	Kyiv City	Ukraine	50.45466	30.5238	Europe/Kyiv
Quito, Pichincha, Ecuador	Quito	Pichincha	Ecuador	-0.22985	-78.52495	America/Guayaquil
Luanda, Angola	Luanda	Luanda	Angola	-8.83682	13.23432	Africa/Luanda
Quezon City, Metro Manila, Philippines	Quezon City	Metro Manila	Philippines	14.6488	121.0509	Asia/Manila
Osaka, Japan	Osaka	Osaka	Japan	34.69379	135.50107	Asia/Tokyo
Linyi, Shandong, China	Linyi	Shandong	China	35.06306	118.34278	Asia/Shanghai
Baoding, Hebei, China	Baoding	Hebei	China	38.87288	115.46246	Asia/Shanghai
Brooklyn, New York, United States	Brooklyn	New York	United States	40.6501	-73.94958	America/New_York
Guayaquil, Guayas, Ecuador	Guayaquil	Guayas	Ecuador	-2.19616	-79.88621	America/Guayaquil
Belo Horizonte, Minas Gerais, Brazil	Belo Horizonte	Minas Gerais	Brazil	-19.92083	-43.93778	America/Sao_Paulo
Salvador, Bahia, Brazil	Salvador	Bahia	Brazil	-12.97563	-38.49096	America/Bahia
Jaipur, Rajasthan, India	Jaipur	Rajasthan	India	26.91962	75.78781	Asia/Kolkata
Chicago, Illinois, United States	Chicago	Illinois	United States	41.85003	-87.65005	America/Chicago
Abuja, FCT, Nigeria	Abuja	FCT	Nigeria	9.05785	7.49508	Africa/Lagos
Wenzhou, Zhejiang, China	Wenzhou	Zhejiang	China	27.99942	120.66682	Asia/Shanghai
Dakar, Senegal	Dakar	Dakar	Senegal	14.6937	-17.44406	Africa/Dakar
Yunfu, Guangdong, China	Yunfu	Guangdong	China	22.92787	112.03809	Asia/Shanghai
Toronto, Ontario, Canada	Toronto	Ontario	Canada	43.70643	-79.39864	America/Toronto
Navi Mumbai, Maharashtra, India	Navi Mumbai	Maharashtra	India	19.03681	73.01582	Asia/Kolkata
Mogadishu, Banaadir, Somalia	Mogadishu	Banaadir	Somalia	2.03711	45.34375	Africa/Mogadishu
Brisbane, Queensland, Australia	Brisbane	Queensland	Australia	-27.46794	153.02809	Australia/Brisbane
Daegu, South Korea	Daegu	Daegu	South Korea	35.87028	128.59111	Asia/Seoul
Bekasi, West Java, Indonesia	Bekasi	West Java	Indonesia	-6.2349	106.9896	Asia/Jakarta
Kumasi, Ashanti, Ghana	Kumasi	Ashanti	Ghana	6.68848	-1.62443	Africa/Accra
Faisalabad, Punjab, Pakistan	Faisalabad	Punjab	Pakistan	31.41554	73.08969	Asia/Karachi
Izmir, Izmir Province, Turkey	Izmir	Izmir Province	Turkey	38.41273	27.13838	Europe/Istanbul
Huai'an, Jiangsu, China	Huai'an	Jiangsu	China	33.58861	119.01917	Asia/Shanghai
